Store,Date,fcst_revenue,WEEk
S0052,10/31/2019,178,44
S0055,10/1/2019,341,40
S0055,10/2/2019,275,40
S0055,10/3/2019,271,40
S0055,10/4/2019,277,40
S0055,10/5/2019,205,40
S0055,10/6/2019,212,41
S0055,10/7/2019,282,41
S0055,10/8/2019,286,41
S0055,10/9/2019,284,41
S0055,10/10/2019,281,41
S0055,10/11/2019,287,41
S0055,10/12/2019,214,41
S0055,10/13/2019,215,42
S0055,10/14/2019,277,42
S0055,10/15/2019,278,42
S0055,10/16/2019,279,42
S0055,10/17/2019,276,42
S0055,10/18/2019,282,42
S0055,10/19/2019,283,42
S0055,10/20/2019,285,43
S0055,10/21/2019,301,43
S0055,10/22/2019,302,43
S0055,10/23/2019,303,43
S0055,10/24/2019,300,43
S0055,10/25/2019,306,43
S0055,10/26/2019,307,43
S0055,10/27/2019,309,44
S0055,10/28/2019,301,44
S0055,10/29/2019,302,44
S0055,10/30/2019,304,44
S0055,10/31/2019,300,44
S0056,10/1/2019,815,40
S0056,10/2/2019,877,40
S0056,10/3/2019,867,40
S0056,10/4/2019,825,40
S0056,10/5/2019,1691,40
S0056,10/6/2019,988,41
S0056,10/7/2019,810,41
S0056,10/8/2019,832,41
S0056,10/9/2019,800,41
S0056,10/10/2019,748,41
S0056,10/11/2019,800,41
S0056,10/12/2019,1066,41
S0056,10/13/2019,1065,42
S0056,10/14/2019,907,42
S0056,10/15/2019,907,42
S0056,10/16/2019,907,42
S0056,10/17/2019,854,42
S0056,10/18/2019,906,42
S0056,10/19/2019,906,42
S0056,10/20/2019,906,43
S0056,10/21/2019,906,43
S0056,10/22/2019,906,43
S0056,10/23/2019,906,43
S0056,10/24/2019,853,43
S0056,10/25/2019,906,43
S0056,10/26/2019,906,43
S0056,10/27/2019,905,44
S0056,10/28/2019,766,44
S0056,10/29/2019,766,44
S0056,10/30/2019,765,44
S0056,10/31/2019,713,44
S0058,10/1/2019,302,40
S0058,10/2/2019,305,40
S0058,10/3/2019,287,40
S0058,10/4/2019,306,40
S0058,10/5/2019,280,40
S0058,10/6/2019,320,41
S0058,10/7/2019,312,41
S0058,10/8/2019,309,41
S0058,10/9/2019,313,41
S0058,10/10/2019,294,41
S0058,10/11/2019,314,41
S0058,10/12/2019,345,41
S0058,10/13/2019,346,42
S0058,10/14/2019,343,42
S0058,10/15/2019,344,42
S0058,10/16/2019,344,42
S0058,10/17/2019,326,42
S0058,10/18/2019,345,42
S0058,10/19/2019,345,42
S0058,10/20/2019,346,43
S0058,10/21/2019,343,43
S0058,10/22/2019,343,43
S0058,10/23/2019,343,43
S0058,10/24/2019,325,43
S0058,10/25/2019,344,43
S0058,10/26/2019,345,43
S0058,10/27/2019,345,44
S0058,10/28/2019,300,44
S0058,10/29/2019,300,44
S0058,10/30/2019,301,44
S0058,10/31/2019,282,44
S0059,10/1/2019,172,40
S0059,10/2/2019,177,40
S0059,10/3/2019,171,40
S0059,10/4/2019,177,40
S0059,10/5/2019,133,40
S0059,10/6/2019,191,41
S0059,10/7/2019,177,41
S0059,10/8/2019,179,41
S0059,10/9/2019,177,41
S0059,10/10/2019,171,41
S0059,10/11/2019,178,41
S0059,10/12/2019,197,41
S0059,10/13/2019,197,42
S0059,10/14/2019,185,42
S0059,10/15/2019,185,42
S0059,10/16/2019,185,42
S0059,10/17/2019,179,42
S0059,10/18/2019,185,42
S0059,10/19/2019,185,42
S0059,10/20/2019,185,43
S0059,10/21/2019,192,43
S0059,10/22/2019,192,43
S0059,10/23/2019,192,43
S0059,10/24/2019,186,43
S0059,10/25/2019,193,43
S0059,10/26/2019,193,43
S0059,10/27/2019,193,44
S0059,10/28/2019,174,44
S0059,10/29/2019,174,44
S0059,10/30/2019,174,44
S0059,10/31/2019,168,44
S0061,10/1/2019,728,40
S0061,10/2/2019,514,40
S0061,10/3/2019,499,40
S0061,10/4/2019,530,40
S0061,10/5/2019,686,40
S0061,10/6/2019,690,41
S0061,10/7/2019,560,41
S0061,10/8/2019,726,41
S0061,10/9/2019,512,41
S0061,10/10/2019,497,41
S0061,10/11/2019,528,41
S0061,10/12/2019,684,41
S0061,10/13/2019,687,42
S0061,10/14/2019,558,42
S0061,10/15/2019,724,42
S0061,10/16/2019,510,42
S0061,10/17/2019,495,42
S0061,10/18/2019,526,42
S0061,10/19/2019,682,42
S0061,10/20/2019,685,43
S0061,10/21/2019,556,43
S0061,10/22/2019,722,43
S0061,10/23/2019,508,43
S0061,10/24/2019,493,43
S0061,10/25/2019,524,43
S0061,10/26/2019,680,43
S0061,10/27/2019,683,44
S0061,10/28/2019,554,44
S0061,10/29/2019,720,44
S0061,10/30/2019,506,44
S0061,10/31/2019,491,44
S0062,10/1/2019,1383,40
S0062,10/2/2019,1566,40
S0062,10/3/2019,1512,40
S0062,10/4/2019,1501,40
S0062,10/5/2019,1573,40
S0062,10/6/2019,1687,41
S0062,10/7/2019,1659,41
S0062,10/8/2019,1685,41
S0062,10/9/2019,1665,41
S0062,10/10/2019,1649,41
S0062,10/11/2019,1675,41
S0062,10/12/2019,1744,41
S0062,10/13/2019,1749,42
S0062,10/14/2019,1891,42
S0062,10/15/2019,1894,42
S0062,10/16/2019,1897,42
S0062,10/17/2019,1876,42
S0062,10/18/2019,1903,42
S0062,10/19/2019,1906,42
